92,Fructosa,C6H12O6,180156,0-48% (20°C)
93,Glicerol,C3H8O3,92094,0-100% (20°C)
94,Glucosa,C6H12O6,180156,0-60% (20°C)
95,Hexacianoferrato(II) de potasio,K4Fe(CN)6,368345,
96,Hexacianoferrato(III) de potasio,K3Fe(CN)6,329247,
97,Hidrazina,N2H4,32046,0-60% (15°C)
98,Hidrogenocarbonato de sodio,NaHCO3,84.01,0-6% (20°C)
99,Hidrogenofosfato de potasio,K2HPO4,174174,0-8% (20°C)
100,Hidrogenofosfato de sodio,Na2HPO4,141.96,0-6% (20°C)
101,Hidrogenotartrato di sodio,NaHC4H4O6,172.07,
102,Hidróxido de amonio,NH4OH,35046,0-62% (20°C)
103,Hidróxido de bario,Ba(OH)2,171.34,
104,Hidróxido de calcio,Ca(OH)2,74092,
105,Hidróxido de potasio,KOH,56105,0-50% (15°C)
106,Hidróxido de sodio,NaOH,40.00,0-50% (20°C)
107,Yodato de potasio,KIO3,214.0,
108,Ioduro de potasio,KI,166.0,0-55% (20°C)
109,Isobutanol,C4H10O,74123,0-8% (20°C)
110,Lactosa,C12H22O11,342297,0-18% (20°C)
111,Maltosa,C12H22O11,342297,0-60% (20°C)
112,Manitol,C6H14O6,182172,0-15% (20°C)
113,Metanol,CH3OH,32042,0-100% (15°C)
114,Nicotina,C10H14N2,162236,0-60% (20°C)
115,Nitrato de aluminio,Al(NO3)3,212994,
116,Nitrato de amonio,NH4NO3,80043,0-50% (20°C)
117,Nitrato de plata,AgNO3,169.87,0-40% (20°C)
118,Nitrato de bario,Ba(NO3)2,261.34,
119,Nitrato de bismuto(III),Bi(NO3)3,394.99,
120,Nitrato de cadmio,Cd(NO3)2,236.42,0-50% (18°C)
121,Nitrato de calcio,Ca(NO3)2,164086,0-68% (18°C)
122,Nitrato de cobalto(II),Co(NO3)2,182941,
123,Nitrato de cromo(III),Cr(NO3)3,238008,
124,Nitrato de hierro(III),Fe(NO3)3,241857,0-25% (18°C)
125,Nitrato de magnesio,Mg(NO3)2,148313,
126,Nitrato de mercurio(II),Hg(NO3)2,324.60,
127,Nitrato de niquel,Ni(NO3)2,182701,0-35% (20°C)
128,Nitrato de plomo(II),Pb(NO3)2,331.2,
129,Nitrato de potasio,KNO3,101102,0-24% (20°C)
130,Nitrato de cobre(II),Cu(NO3)2,187554,0-25% (20°C)
131,Nitrato de sodio,NaNO3,84.99,0-45% (20°C)
132,Nitrato de estroncio,Sr(NO3)2,211.63,
133,Nitrato de zinc,Zn(NO3)2,189.39,0-50% (18°C)
134,Nitrito potasio,KNO2,85103,
135,Nitrito sodio,NaNO2,69.00,0-20% (15°C)
136,Oxalato de amonio,(NH4)2C2O4,124096,
137,Óxido de cromo(VI),CrO3,99993,0-60% (15°C)
138,Pentan-1-ol,C5H11OH,88150,
139,Permanganato de potasio,KMnO4,158032,0-6% (20°C)
140,Peróxido de hidrógeno,H2O2,34014,0-100% (18°C)
141,Piridina,C5H5N,79102,0-60% (25°C)
142,Propan-1-ol,CH3CH2CH2OH,60096,0-100% (15°C)
143,Propan-2-ol,CH3CHOHCH3,60096,0-100% (20°C)
144,Resorcinol,C6H6O2,110112,0-52% (18°C)
145,Sacarosa,C12H22O11,342297,0-89% (20°C)
146,Sulfato de aluminio,Al2(SO4)3,342132,0-26% (15°C)
147,Sulfato de amonio,(NH4)2SO4,132.13,0-50% (20°C)
148,Sulfato de plata,Ag2SO4,311.80,
149,Sulfato de cadmio,CdSO4,208.47,
150,Sulfato de calcio,CaSO4,136.13,
151,Sulfato de cobalto(II),CoSO4,154.99,
152,Sulfato de cromo(III),Cr2(SO4)3,392.16,0-40% (15°C)
153,Sulfato de hierro(II),FeSO4,151.90,0-20% (18°C)
154,Sulfato de hierro(III),Fe2(SO4)3,399.86,0-20% (17.5°C)
155,Sulfato de magnesio,MgSO4,120.36,0-26% (20°C)
156,Sulfato de manganeso(II),MnSO4,150.99,0-30% (20°C)
157,Sulfato de mercurio(II),HgSO4,296.65,
158,Sulfato de niquel,NiSO4,154.75,0-18% (18°C)
159,Sulfato de potasio,K2SO4,174.25,0-10% (20°C)
160,Sulfato de cobre(II),CuSO4,159.60,0-20% (18°C)
161,Sulfato de sodio,Na2SO4,142.04,0-24% (20°C)
162,Sulfato de estroncio,SrSO4,183.68,
163,Sulfato de zinc,ZnSO4,161.44,0-16% (20°C)
164,Sulfito de potasio,K2SO3,158.25,0-26% (15°C)
165,Sulfito de sodio,Na2SO3,126.04,0-18% (19°C)
166,Sulfuro de sodio,Na2S,78.04,0-18% (18°C)
167,Sulfato de hierro(II) y amonio,FeSO4+(NH4)2SO4,284.04,
168,Tartrato de potasio y sodio,NaKC4H4O6,210.16,0-36% (20°C)
169,Tartrato de potasio,K2C4H4O6,226266,0-50% (20°C)
170,Tartrato de sodio,Na2C4H4O6,194.05,0-28% (20°C)
171,Tiocianato de potasio,KCNS,97.18,
172,Tiosulfato de sodio,Na2S2O3,158.10,0-40% (20°C)
173,Tiourea,CH4N2S,76.12,0-7% (15°C)
174,TRIS,(HOCH2)3CNH2,121136,0-40% (20°C)
175,Urea,(NH2)2CO,60056,0-46% (20°C)
176,Uretano,C3H7NO2,89094,0-56% (20°C)
