44,Ruteni,Ru,101.07,5,1,"2,8,18,15,1",2.2,2334,4150,101.3,710.2,178,2160,220,12370,120,238,0.0000004,1844
45,Rodi,Rh,102.91,5,1,"2,8,18,16,1",2.28,1964,3695,109.7,719.7,173,1100,380,12450,150,240,0.00000006,1803
46,Pal·ladi,Pd,106.42,5,1,"2,8,18,18",2.2,1554.9,2963,53.7,804.4,169,37.3,180,12023,72,240,0.0000002,1803
47,Argent,Ag,107.87,5,1,"2,8,18,18,1",1.93,961.78,2162,125.6,731,165,24.5,100,10490,430,235,0.00000006,3000
48,Cadmi,Cd,112.41,5,1,"2,8,18,18,2",1.69,321.07,766.9,0,867.8,161,203,42,8650,97,230,0.0000002,1817
49,Indi,In,114.82,6,1,"2,8,18,18,3",1.78,156.6,2072,28.9,558.3,156,8.83,,7310,82,233,0.00000003,1863
50,Estany,Sn,118.71,6,1,"2,8,18,18,4",1.96,231.93,2602,107.3,708.6,145,51,58,7310,67,217,0.0000004,3000
51,Antimoni,Sb,121.76,9,1,"2,8,18,18,5",2.05,630.63,1587,103.2,834,133,294,42,6697,24,207,0.00000004,3000
52,Tel·luri,Te,127.6,9,1,"2,8,18,18,6",2.1,449.51,987.9,190.2,869.3,123,180,65,6240,3,201,0.0000009,1783
53,Iode,I,126.9,7,1,"2,8,18,18,7",2.66,113.7,184.3,295.2,1008.4,115,,7.7,4940,449,429,0.0000001,1811
54,Xenó,Xe,131.29,8,3,"2,8,18,18,8",2.6,-111.8,-108,0,1170.4,108,,,5.9,0.00565,158.32,0.000001,1898
55,Cesi,Cs,132.91,1,1,"2,8,18,18,8,1",0.79,28.44,671,45.5,375.7,298,0.14,1.6,1879,36,242,0.00000008,1860
56,Bari,Ba,137.33,2,1,"2,8,18,18,8,2",0.89,730,1870,13.95,502.9,253,,9.6,3510,18,205,0.000001,1808
57,Lantani,La,138.91,3,1,"2,8,18,18,9,2",1.1,919.9,3464,48,538.1,,363,28,6146,13,195,0.0000002,1839
58,Ceri,Ce,140.12,3,1,"2,8,18,19,9,2",1.12,797.9,3360,50,534.4,,412,22,6689,11,192,0.000001,1803
59,Praseodimi,Pr,140.91,3,1,"2,8,18,21,8,2",1.13,930.9,3290,50,527,247,481,29,6640,13,193,0.0000002,1885
60,Neodimi,Nd,144.24,3,1,"2,8,18,22,8,2",1.14,1021,3100,50,533.1,206,265,32,7010,17,190,0.000001,1885
61,Prometi,Pm,145,3,1,"2,8,18,23,8,2",,1100,3000,50,540,205,,33,7264,15,,0,1945
62,Samari,Sm,150.36,3,1,"2,8,18,24,8,2",1.17,1072,1803,50,544.5,238,441,38,7353,13,196,0.0000005,1879
63,Europi,Eu,151.96,3,1,"2,8,18,25,8,2",,821.9,1500,50,547.1,231,,8.3,5244,14,182,0.00000005,1901
64,Gadolini,Gd,157.25,3,1,"2,8,18,25,9,2",1.2,1313,3250,50,593.4,233,,38,7901,11,240,0.0000002,1880
65,Terbi,Tb,158.93,3,1,"2,8,18,27,8,2",,1356,3230,50,565.8,225,677,38.7,8219,11,182,0.00000005,1843
66,Disprosi,Dy,162.5,3,1,"2,8,18,28,8,2",1.22,1412,2567,50,573,228,500,41,8551,11,167,0.0000002,1886
67,Holmi,Ho,164.93,3,1,"2,8,18,29,8,2",1.23,1474,2700,50,581,226,746,40,8795,16,165,0.00000005,1878
68,Erbi,Er,167.26,3,1,"2,8,18,30,8,2",1.24,1497,2868,50,589.3,226,814,44,9066,15,168,0.0000002,1842
69,Tuli,Tm,168.93,3,1,"2,8,18,31,8,2",1.25,1545,1950,50,596.7,222,471,45,9320,17,160,0.00000001,1879
70,Iterbi,Yb,173.05,3,1,"2,8,18,32,8,2",,818.9,1196,50,603.4,222,343,31,6570,39,154,0.0000002,1878
71,Luteci,Lu,174.97,3,1,"2,8,18,32,9,2",1.27,1663,3402,50,523.5,217,893,48,9841,16,154,0.00000001,1907
72,Hafni,Hf,178.49,5,1,"2,8,18,32,10,2",1.3,2233,4603,0,658.5,208,1700,110,13310,23,144,0.00000007,1923
73,Tàntal,Ta,180.95,5,1,"2,8,18,32,11,2",1.5,3017,5458,31,761,200,800,200,16650,57,140,0.000000008,1802
74,Tungstè,W,183.84,5,1,"2,8,18,32,12,2",2.36,3422,5555,78.6,770,193,2570,310,19250,170,132,0.00000005,1783
75,Reni,Re,186.21,5,1,"2,8,18,32,13,2",1.9,3186,5596,14.5,760,188,1320,370,21020,48,137,0.00000002,1925
76,Osmi,Os,190.23,5,1,"2,8,18,32,14,2",2.2,3033,5012,106.1,840,185,3920,,22590,88,130,0.0000003,1803
77,Iridi,Ir,192.22,5,1,"2,8,18,32,15,2",2.2,2466,4428,151,880,180,1670,320,22560,150,131,0.0000002,1803
78,Platí,Pt,195.08,5,1,"2,8,18,32,17,1",2.28,1768.3,3825,205.3,870,177,392,230,21450,72,133,0.0000005,1735
79,Or,Au,196.97,5,1,"2,8,18,32,18,1",2.54,1064.18,2856,222.8,890.1,174,25,220,19300,320,129.1,0.00000006,2500
80,Mercuri,Hg,200.59,5,2,"2,8,18,32,18,2",2,-38.83,356.73,0,1007.1,171,,25,13534,8.3,139.5,0.0000001,1500
81,Tal·li,Tl,204.38,6,1,"2,8,18,32,18,3",1.62,304,1473,19.2,589.4,156,26.4,43,11850,46,129,0.00000005,1861
82,Plom,Pb,207.2,6,1,"2,8,18,32,18,4",2.33,327.46,1749,35.1,715.6,154,38.3,46,11340,35,127,0.000001,4000
83,Bismut,Bi,208.98,6,1,"2,8,18,32,18,5",2.02,271.3,1564,91.2,703,143,94.2,31,9780,8,122,0.00000007,1400
84,Poloni,Po,209,6,1,"2,8,18,32,18,6",2,255,961.9,183.3,812.1,135,,,9196,,,0,1898
85,Àstat,At,210,9,1,"2,8,18,32,18,7",2.2,302,350,270.1,890,127,,,,2,,0,1940
